SampleID,CropTrt,Day,Rep,Stuffed_g_fresh,Stuffed_g_dry,Stuffed_g_N,Stuffed_g_C,N_pct,C_pct,aver_N,aver_C,Ash_Pct,Stuffed_g_Ash,Final_dry_wash,Final_g_dry
2SS-2SH-4,2SS-2SH,4,4,8.1,3.5,0.0504,1.37795,1.65,38.43,1.44,39.37,0.01,3.49965,11,10.9989
2SS-2SH-7,2SS-2SH,7,1,8.1,3.5,0.0504,1.37795,1.11,40.34,1.44,39.37,0.02,3.4993,7,6.9986
2SS-2SH-7,2SS-2SH,7,2,8.1,3.5,0.0504,1.37795,1.42,39.09,1.44,39.37,0.01,3.49965,6,5.9994
2SS-2SH-7,2SS-2SH,7,3,8.1,3.5,0.0504,1.37795,1.4,39.6,1.44,39.37,0.02,3.4993,7,6.9986
2SS-2SH-7,2SS-2SH,7,4,8.1,3.5,0.0504,1.37795,1.54,38.14,1.44,39.37,0.01,3.49965,8,7.9992
2SS-2SH-14,2SS-2SH,14,1,8.1,3.5,0.0504,1.37795,1.21,40.04,1.44,39.37,0.02,3.4993,5,4.999
2SS-2SH-14,2SS-2SH,14,2,8.1,3.5,0.0504,1.37795,1.51,38.07,1.44,39.37,0.02,3.4993,4,3.9992
2SS-2SH-14,2SS-2SH,14,3,8.1,3.5,0.0504,1.37795,1.55,37.79,1.44,39.37,0.03,3.49895,6,5.9982
2SS-2SH-14,2SS-2SH,14,4,8.1,3.5,0.0504,1.37795,1.23,39.37,1.44,39.37,0.02,3.4993,5,4.999
2SS-2SH-28,2SS-2SH,28,1,8.1,3.5,0.0504,1.37795,1.4,39.62,1.44,39.37,0.02,3.4993,3,2.9994
2SS-2SH-28,2SS-2SH,28,2,8.1,3.5,0.0504,1.37795,1.47,39.73,1.44,39.37,0.01,3.49965,3,2.9997
2SS-2SH-28,2SS-2SH,28,3,8.1,3.5,0.0504,1.37795,0.83,41.2,1.44,39.37,0.03,3.49895,3,2.9991
2SS-2SH-28,2SS-2SH,28,4,8.1,3.5,0.0504,1.37795,1.32,39.63,1.44,39.37,0.01,3.49965,3,2.9997
2SS-2SH-42,2SS-2SH,42,1,8.1,3.5,0.0504,1.37795,1.31,39.75,1.44,39.37,0.02,3.4993,3,2.9994
2SS-2SH-42,2SS-2SH,42,2,8.1,3.5,0.0504,1.37795,1.53,39.2,1.44,39.37,0.05,3.49825,3,2.9985
2SS-2SH-42,2SS-2SH,42,3,8.1,3.5,0.0504,1.37795,0.99,41.62,1.44,39.37,0.01,3.49965,3,2.9997
2SS-2SH-42,2SS-2SH,42,4,8.1,3.5,0.0504,1.37795,1.94,39.13,1.44,39.37,0.01,3.49965,3,2.9997
2SS-2SH-56,2SS-2SH,56,1,8.1,3.5,0.0504,1.37795,1.43,39.52,1.44,39.37,0.01,3.49965,3,2.9997
2SS-2SH-56,2SS-2SH,56,2,8.1,3.5,0.0504,1.37795,1.88,39.62,1.44,39.37,0.02,3.4993,2,1.9996
2SS-2SH-56,2SS-2SH,56,3,8.1,3.5,0.0504,1.37795,0.99,39.87,1.44,39.37,0.05,3.49825,2,1.999
2SS-2SH-56,2SS-2SH,56,4,8.1,3.5,0.0504,1.37795,0.82,41.31,1.44,39.37,0.04,3.4986,3,2.9988
1SS-3SH-0,1SS-3SH,0,1,8.89,3.78,0.065772,1.509354,2.11,39.7,1.74,39.93,0.02,3.779244,25,24.995
1SS-3SH-0,1SS-3SH,0,2,8.89,3.78,0.065772,1.509354,2.18,39.53,1.74,39.93,0.02,3.779244,25,24.995
1SS-3SH-0,1SS-3SH,0,3,8.89,3.78,0.065772,1.509354,2.02,40.01,1.74,39.93,0.03,3.778866,25,24.9925
1SS-3SH-0,1SS-3SH,0,4,8.89,3.78,0.065772,1.509354,2.16,39.77,1.74,39.93,0.03,3.778866,25,24.9925
1SS-3SH-4,1SS-3SH,4,1,8.89,3.78,0.065772,1.509354,1.22,39.37,1.74,39.93,0.02,3.779244,14,13.9972
1SS-3SH-4,1SS-3SH,4,2,8.89,3.78,0.065772,1.509354,2.17,38.75,1.74,39.93,0.02,3.779244,14,13.9972
1SS-3SH-4,1SS-3SH,4,3,8.89,3.78,0.065772,1.509354,2.22,38.84,1.74,39.93,0.03,3.778866,12,11.9964
1SS-3SH-4,1SS-3SH,4,4,8.89,3.78,0.065772,1.509354,1.51,37.86,1.74,39.93,0.04,3.778488,14,13.9944
1SS-3SH-7,1SS-3SH,7,1,8.89,3.78,0.065772,1.509354,2.15,39.33,1.74,39.93,0.06,3.777732,8,7.9952
1SS-3SH-7,1SS-3SH,7,2,8.89,3.78,0.065772,1.509354,2.36,39.39,1.74,39.93,0.03,3.778866,7,6.9979
1SS-3SH-7,1SS-3SH,7,3,8.89,3.78,0.065772,1.509354,1.81,40.29,1.74,39.93,0.05,3.77811,7,6.9965
1SS-3SH-7,1SS-3SH,7,4,8.89,3.78,0.065772,1.509354,1.71,38.99,1.74,39.93,0.02,3.779244,6,5.9988
1SS-3SH-14,1SS-3SH,14,1,8.89,3.78,0.065772,1.509354,1.93,37.73,1.74,39.93,0.07,3.777354,6,5.9958
1SS-3SH-14,1SS-3SH,14,2,8.89,3.78,0.065772,1.509354,1.31,40.51,1.74,39.93,0.06,3.777732,6,5.9964
1SS-3SH-14,1SS-3SH,14,3,8.89,3.78,0.065772,1.509354,1.42,39.2,1.74,39.93,0.03,3.778866,6,5.9982
1SS-3SH-14,1SS-3SH,14,4,8.89,3.78,0.065772,1.509354,1.34,39.13,1.74,39.93,0.03,3.778866,6,5.9982
1SS-3SH-28,1SS-3SH,28,1,8.89,3.78,0.065772,1.509354,1.54,39.55,1.74,39.93,0.03,3.778866,4,3.9988
1SS-3SH-28,1SS-3SH,28,2,8.89,3.78,0.065772,1.509354,2.63,39.17,1.74,39.93,0.01,3.779622,4,3.9996
1SS-3SH-28,1SS-3SH,28,3,8.89,3.78,0.065772,1.509354,2.05,39.84,1.74,39.93,0.03,3.778866,4,3.9988
1SS-3SH-28,1SS-3SH,28,4,8.89,3.78,0.065772,1.509354,1.36,41.68,1.74,39.93,0.03,3.778866,4,3.9988
1SS-3SH-42,1SS-3SH,42,1,8.89,3.78,0.065772,1.509354,0.96,41.97,1.74,39.93,0.01,3.779622,4,3.9996
1SS-3SH-42,1SS-3SH,42,2,8.89,3.78,0.065772,1.509354,1.64,40.74,1.74,39.93,0.02,3.779244,3,2.9994
1SS-3SH-42,1SS-3SH,42,3,8.89,3.78,0.065772,1.509354,2.02,39.76,1.74,39.93,0.03,3.778866,3,2.9991
1SS-3SH-42,1SS-3SH,42,4,8.89,3.78,0.065772,1.509354,1.57,40.46,1.74,39.93,0.04,3.778488,3,2.9988
1SS-3SH-56,1SS-3SH,56,1,8.89,3.78,0.065772,1.509354,1.36,41.22,1.74,39.93,0.01,3.779622,4,3.9996
1SS-3SH-56,1SS-3SH,56,2,8.89,3.78,0.065772,1.509354,1.44,41.79,1.74,39.93,0.01,3.779622,3,2.9997
1SS-3SH-56,1SS-3SH,56,3,8.89,3.78,0.065772,1.509354,1.34,41.79,1.74,39.93,0.02,3.779244,3,2.9994
1SS-3SH-56,1SS-3SH,56,4,8.89,3.78,0.065772,1.509354,1.1,41.68,1.74,39.93,0.05,3.77811,4,3.998
